x, y, z, s 
22.2925797, 8.53417587, 14.0644894, 0.0 
22.2712212, 8.51528072, 14.0333614, 0.042215161 
22.2496529, 8.49629784, 14.00282, 0.0841489509 
22.2278728, 8.47722435, 13.972827, 0.125834405 
22.2058926, 8.45806313, 13.9433842, 0.167273134 
22.1837101, 8.43881226, 13.9144897, 0.208474725 
22.161335, 8.41947365, 13.8861332, 0.249447584 
22.1387672, 8.40004444, 13.8582888, 0.290215492 
22.1160145, 8.3805275, 13.8309689, 0.330773979 
22.0930786, 8.36091995, 13.8041506, 0.371144056 
22.0699654, 8.34122372, 13.7778196, 0.411337227 
22.0466766, 8.32143974, 13.7519779, 0.451356977 
22.0232201, 8.30156517, 13.7266111, 0.491214097 
21.9995995, 8.28160095, 13.7017088, 0.530921996 
21.9758148, 8.26154804, 13.6772585, 0.570490062 
21.9518757, 8.24140549, 13.6532593, 0.609920621 
21.927784, 8.22117329, 13.6296997, 0.649224043 
21.9035454, 8.20085144, 13.6065674, 0.688411534 
21.8791599, 8.18043995, 13.5838499, 0.72749275 
21.8546371, 8.15993977, 13.5615358, 0.766474068 
21.8299789, 8.13934898, 13.5396242, 0.80535984 
21.8051891, 8.11866951, 13.5181026, 0.84415853 
21.7802734, 8.09789848, 13.4969606, 0.882878423 
21.7552338, 8.07703876, 13.4761963, 0.921521485 
21.7300777, 8.0560894, 13.4557858, 0.960099101 
21.7048073, 8.03504944, 13.4357176, 0.998623013 
21.6794262, 8.01391888, 13.4160032, 1.03708446 
21.6539421, 7.99269867, 13.3966064, 1.07550383 
21.628355, 7.97138977, 13.3775387, 1.11387408 
21.6026726, 7.94998932, 13.3587894, 1.15220404 
21.5768948, 7.92849874, 13.340332, 1.19050467 
21.5510311, 7.90691853, 13.3221798, 1.22876859 
21.5250835, 7.88524771, 13.3042965, 1.26701391 
21.4990559, 7.86348581, 13.2867069, 1.30523026 
21.4729519, 7.84163523, 13.2693605, 1.34343648 
21.4467793, 7.81969166, 13.2522831, 1.38162303 
21.420536, 7.79766083, 13.2354488, 1.41979849 
21.3942318, 7.77553558, 13.2188473, 1.45797002 
21.3678703, 7.75332355, 13.202466, 1.49613726 
21.3414536, 7.73101807, 13.1863041, 1.534302 
21.3149872, 7.70862293, 13.1703491, 1.57246697 
21.2884769, 7.6861372, 13.1546021, 1.61062944 
21.2619228, 7.66356039, 13.1390257, 1.64880562 
21.2353325, 7.64089203, 13.1236448, 1.68698239 
21.2087097, 7.61813354, 13.1084232, 1.7251724 
21.1820583, 7.59528351, 13.093359, 1.76337337 
21.1553841, 7.57234335, 13.0784426, 1.80158675 
21.1286888, 7.54931164, 13.0636721, 1.83981323 
21.1019783, 7.52618885, 13.0490236, 1.87805974 
21.0752563, 7.50297546, 13.0345097, 1.91631603 
21.0485268, 7.47966909, 13.020093, 1.95459723 
21.0216312, 7.45580578, 13.0051632, 1.99353004 
20.995121, 7.43222332, 12.9907837, 2.03181505 
20.968502, 7.40865946, 12.9762087, 2.07023621 
20.9418716, 7.38505411, 12.9617062, 2.10866451 
20.9154072, 7.36159658, 12.9474125, 2.14680839 
20.8885632, 7.33760548, 12.9327393, 2.18568563 
20.8619099, 7.31370544, 12.9182491, 2.22430682 
20.8352013, 7.28960896, 12.9036617, 2.26312447 
20.8086815, 7.26551533, 12.8892698, 2.30173707 
20.782095, 7.24111176, 12.8747311, 2.34064317 
20.7556133, 7.21654987, 12.8602047, 2.37957358 
20.7293034, 7.19190979, 12.8458252, 2.41838288 
20.7032261, 7.16734457, 12.8314209, 2.45699573 
20.6771259, 7.14256573, 12.8171263, 2.49571943 
20.6510658, 7.11763477, 12.8026247, 2.53459144 
20.6254311, 7.09289265, 12.7885132, 2.57291079 
20.5994606, 7.06761932, 12.773901, 2.61198473 
20.5739288, 7.04253864, 12.7595339, 2.65055037 
20.5481987, 7.01713276, 12.744812, 2.68959212 
20.5225239, 6.99169636, 12.730176, 2.72858453 
20.4969082, 6.96610546, 12.715332, 2.76771688 
20.4714584, 6.94039774, 12.7005863, 2.80678153 
20.4461517, 6.91456604, 12.6857548, 2.84586716 
20.4206886, 6.88838196, 12.670557, 2.885427 
20.3954697, 6.86211109, 12.6552734, 2.92492008 
20.3703766, 6.83578348, 12.6398926, 2.96440887 
20.3455009, 6.8094697, 12.6246948, 3.00367904 
20.3206387, 6.78295612, 12.6090946, 3.04323292 
20.2958298, 6.75649548, 12.5933838, 3.08276105 
20.2713871, 6.73022747, 12.5779905, 3.12180471 
20.2468681, 6.70375824, 12.56217, 3.16120172 
20.2225304, 6.67724752, 12.5462036, 3.20057178 
20.1984463, 6.65079355, 12.5300779, 3.23981357 
20.1746445, 6.62449932, 12.5142088, 3.27866888 
20.1509151, 6.59818268, 12.4981441, 3.31757545 
20.1273232, 6.57188892, 12.4819946, 3.35641909 
20.1035633, 6.54535198, 12.4652958, 3.39575815 
20.080143, 6.51885509, 12.4484863, 3.43491364 
20.0571861, 6.49250507, 12.4317141, 3.47367716 
20.034008, 6.46587992, 12.4142208, 3.51307368 
20.0107689, 6.43938732, 12.396594, 3.55247688 
19.9872856, 6.41265392, 12.3783569, 3.59246206 
19.9638386, 6.38607502, 12.359827, 3.63245702 
19.9407616, 6.35987377, 12.3412724, 3.67199588 
19.9174862, 6.33344269, 12.3220825, 3.71210241 
19.8947506, 6.30744457, 12.3030148, 3.7515533 
19.8721123, 6.28157663, 12.2836056, 3.79102945 
19.8495922, 6.25584269, 12.2639771, 3.83045912 
19.8270187, 6.23009491, 12.2438107, 3.87019801 
19.8045044, 6.2045393, 12.2232418, 3.90998578 
19.7819843, 6.17895365, 12.2020874, 3.95010233 
19.7595024, 6.15362549, 12.1805058, 3.99026155 
19.7372227, 6.12861633, 12.1585941, 4.03028584 
19.715023, 6.10368824, 12.1363888, 4.07037592 
19.6929531, 6.07879353, 12.1141968, 4.11036777 
19.6709518, 6.0539217, 12.0920162, 4.1503005 
19.6487617, 6.02875042, 12.0695677, 4.19067335 
19.6270351, 6.00407696, 12.0471678, 4.23045444 
19.6049976, 5.97937012, 12.0245609, 4.27054501 
19.582756, 5.95483685, 12.0017576, 4.31075048 
19.5608139, 5.93063831, 11.9789305, 4.35060215 
19.5389194, 5.90655994, 11.9562626, 4.39026308 
19.5170479, 5.88255167, 11.9336061, 4.42986107 
19.4955826, 5.85906696, 11.9112549, 4.46874428 
19.4739113, 5.83544302, 11.8886356, 4.50797939 
19.4527245, 5.81237507, 11.8662233, 4.54649353 
19.4313354, 5.78911877, 11.84375, 4.58526659 
19.4100151, 5.76596832, 11.8213863, 4.62387562 
19.3888588, 5.74301147, 11.7991333, 4.66221333 
19.3676529, 5.72004557, 11.7771606, 4.70042181 
19.3465462, 5.69708538, 11.7553225, 4.7384944 
19.3257637, 5.67434216, 11.7336426, 4.77616739 
19.3050823, 5.65156698, 11.7120972, 4.81372547 
19.2843819, 5.62874126, 11.6903934, 4.85141659 
19.263607, 5.60585499, 11.6687136, 4.88917065 
19.2429485, 5.58299112, 11.6470337, 4.92684698 
19.222393, 5.56019449, 11.6252079, 4.96451092 
19.2019577, 5.53742361, 11.6033812, 5.00209475 
19.1816864, 5.51475382, 11.5815678, 5.03952074 
19.161211, 5.49178028, 11.5593014, 5.07750463 
19.140873, 5.46885824, 11.5370359, 5.11538363 
19.1205826, 5.44594097, 11.5147581, 5.15324068 
19.1001968, 5.42288494, 11.4923096, 5.19133377 
19.0798912, 5.39987326, 11.4696903, 5.22945881 
19.0598869, 5.37712097, 11.447217, 5.26718044 
19.0399132, 5.35443258, 11.4247189, 5.30486012 
19.0198917, 5.33172131, 11.402051, 5.34268284 
18.9998722, 5.30904102, 11.3791866, 5.38060331 
18.9800415, 5.28664255, 11.3564329, 5.41818905 
18.9601555, 5.26434183, 11.3336306, 5.45577574 
18.9404297, 5.24230051, 11.3108158, 5.49313116 
18.9207535, 5.22031879, 11.2879763, 5.53044033 
18.9009056, 5.19820118, 11.264966, 5.56802559 
18.8810368, 5.17609882, 11.2419186, 5.60563421 
18.8611336, 5.15406942, 11.218689, 5.64333105 
18.8412533, 5.13207865, 11.1954222, 5.68101597 
18.8214073, 5.11015797, 11.1719723, 5.71875477 
18.8015194, 5.08827686, 11.1486206, 5.75643301 
18.7815857, 5.06643534, 11.1252079, 5.79415035 
18.7614803, 5.04442453, 11.1014156, 5.83229113 
18.7415695, 5.02268982, 11.0777102, 5.87011719 
18.721508, 5.00074768, 11.0537844, 5.90827894 
18.7014675, 4.97874308, 11.0296383, 5.94660473 
18.6814308, 4.95677662, 11.0055542, 5.98486757 
18.6614838, 4.93496561, 10.9815063, 6.02297163 
18.6415558, 4.91310263, 10.9573364, 6.06117249 
18.6220684, 4.89181232, 10.9334841, 6.09861517 
18.60252, 4.87045765, 10.9091921, 6.13640833 
18.5831432, 4.84924936, 10.8847904, 6.17409992 
18.5637016, 4.82801199, 10.8601437, 6.21200037 
18.5443039, 4.80683756, 10.8350954, 6.25010586 
18.5250244, 4.78575611, 10.8100948, 6.28806829 
18.5059032, 4.76481628, 10.7849979, 6.32593632 
18.486866, 4.7439146, 10.7597656, 6.36382961 
18.4678764, 4.72296286, 10.7341185, 6.40200567 
18.4491196, 4.70198202, 10.7083492, 6.44016361 
18.4303894, 4.68086863, 10.6821537, 6.47867107 
18.4122448, 4.6601944, 10.6561527, 6.51652241 
18.3942566, 4.63954306, 10.6299076, 6.5544548 
18.3766594, 4.619174, 10.6037111, 6.59201574 
18.35919, 4.5987978, 10.5772705, 6.62969112 
18.3419704, 4.57865429, 10.5509157, 6.66706562 
18.3248177, 4.55860901, 10.5243406, 6.7045126 
18.3076801, 4.53865814, 10.4975586, 6.74204922 
18.2907295, 4.51892853, 10.4707279, 6.77941799 
18.2739353, 4.49940014, 10.4438963, 6.81661129 
18.2567654, 4.47955322, 10.4164677, 6.8545723 
18.2396469, 4.45975494, 10.3889036, 6.89258289 
18.2229042, 4.44038391, 10.3616695, 6.92996311 
18.2060986, 4.42102671, 10.3343258, 6.96744299 
18.189394, 4.40189362, 10.3067141, 7.00496054 
18.172739, 4.38290882, 10.2791624, 7.04233551 
18.1560478, 4.36403656, 10.2515135, 7.07974148 
18.1393242, 4.34525585, 10.223938, 7.11706161 
18.1221771, 4.32610178, 10.1956787, 7.15526438 
18.1050072, 4.30704212, 10.1673584, 7.19347525 
18.0874519, 4.28764963, 10.1385136, 7.23241568 
18.0700893, 4.26856518, 10.1099367, 7.27091599 
18.0525589, 4.24963236, 10.0813112, 7.30945444 
18.0344753, 4.23046589, 10.0522213, 7.34870434 
18.0165939, 4.21173573, 10.023572, 7.3873229 
17.9986763, 4.19294119, 9.9946413, 7.42619801 
17.9810638, 4.17456675, 9.96618652, 7.46437454 
17.9632683, 4.15603352, 9.93760967, 7.5028038 
17.9452801, 4.13737202, 9.90893555, 7.54145575 
17.9274483, 4.11890888, 9.88045692, 7.57979584 
17.9095135, 4.10041046, 9.85191631, 7.61824512 
17.8915615, 4.08191967, 9.82330322, 7.65675354 
17.8735771, 4.06341267, 9.7946167, 7.6953392 
17.8552818, 4.04469442, 9.76588154, 7.73420811 
17.8369312, 4.02595663, 9.73710918, 7.77313995 
17.8187828, 4.00752735, 9.70875263, 7.81152105 
17.8004456, 3.98902583, 9.68037128, 7.8500452 
17.7819557, 3.97049093, 9.6521244, 7.88855886 
17.7634602, 3.95209956, 9.62415791, 7.92680073 
17.744875, 3.93363047, 9.59619141, 7.96512318 
17.7258511, 3.91476297, 9.56791973, 8.00407314 
17.7069225, 3.89617157, 9.5401125, 8.04250813 
17.6875229, 3.87710571, 9.51203632, 8.08159924 
17.6682625, 3.85826874, 9.48446083, 8.12015152 
17.6489296, 3.83944845, 9.45723915, 8.15847874 
17.6296482, 3.82086182, 9.43038368, 8.19640541 
17.6102886, 3.80214691, 9.40373516, 8.23428822 
17.5905342, 3.78289485, 9.37698936, 8.27270889 
17.5707169, 3.76351023, 9.35030556, 8.31118774 
17.5509892, 3.74424744, 9.32410908, 8.34922028 
17.5311489, 3.72481084, 9.2981081, 8.38726616 
17.5114384, 3.70553279, 9.27274132, 8.4247303 
17.4915123, 3.6860137, 9.24741173, 8.46240902 
17.4713383, 3.6661849, 9.22213173, 8.50034714 
17.4511986, 3.64619446, 9.19716835, 8.53814125 
17.4310265, 3.62595987, 9.17237568, 8.57597065 
17.4103489, 3.60522151, 9.14730263, 8.61452293 
17.3895378, 3.5843246, 9.12237549, 8.65313816 
17.3687515, 3.56343699, 9.09791279, 8.69143677 
17.3477039, 3.54226375, 9.07343769, 8.7300415 
17.3265133, 3.52094412, 9.0491209, 8.76870441 
17.3053989, 3.49966431, 9.02524376, 8.80702877 
17.2841282, 3.47817373, 9.00147724, 8.84548855 
17.262661, 3.45648956, 8.97796631, 8.88400841 
17.2413521, 3.43494415, 8.95498085, 8.92204189 
17.2196693, 3.41301584, 8.93179893, 8.96062183 
17.1978073, 3.39092565, 8.9087162, 8.99933624 
17.1760387, 3.36896515, 8.88613319, 9.03762627 
17.1540146, 3.34678197, 8.86362267, 9.07614708 
17.131897, 3.3245728, 8.8412962, 9.11462975 
17.1095753, 3.30221558, 8.81912804, 9.15322399 
17.0871277, 3.27977896, 8.79711914, 9.19184685 
17.0642052, 3.25695038, 8.77478027, 9.23116016 
17.0411968, 3.23421335, 8.75274658, 9.27029896 
17.0178299, 3.21119237, 8.7302494, 9.31007481 
16.9945774, 3.188272, 8.70817852, 9.34948444 
16.9710293, 3.16515207, 8.68581581, 9.38934803 
16.9475899, 3.14210367, 8.66370869, 9.42896271 
16.9240818, 3.11901093, 8.64156532, 9.46866512 
16.9007511, 3.0960815, 8.61993408, 9.50788212 
16.8773994, 3.07302403, 8.5980587, 9.54732132 
16.8542957, 3.0500474, 8.57637978, 9.58645821 
16.8313313, 3.02697754, 8.55456543, 9.62564278 
16.8085003, 3.00383759, 8.53243446, 9.66496849 
16.7857933, 2.98083186, 8.51030254, 9.70414352 
16.7631359, 2.9577713, 8.48800087, 9.74341774 
16.740797, 2.93498993, 8.46580791, 9.78228378 
16.7186317, 2.91237497, 8.44356728, 9.82098103 
16.6966267, 2.8897872, 8.42095947, 9.85978127 
16.6748734, 2.86720276, 8.39808369, 9.89859581 
16.6534004, 2.84467769, 8.37491417, 9.9373951 
16.6321144, 2.82210088, 8.35141563, 9.97631741 
16.6110363, 2.79959869, 8.32772255, 10.0152016 
16.5902519, 2.77729487, 8.30383301, 10.0539331 
16.5697842, 2.75519252, 8.27974892, 10.0925007 
16.5496883, 2.73336649, 8.2557497, 10.130661 
16.5293465, 2.7114501, 8.23081017, 10.1695986 
16.5091286, 2.68960571, 8.20551777, 10.2086582 
16.4887447, 2.66773677, 8.17956543, 10.2482471 
16.4687195, 2.64611506, 8.15356445, 10.2875481 
16.4487362, 2.62466431, 8.12734413, 10.3268795 
16.428772, 2.6034286, 8.10075665, 10.3663311 
16.4088287, 2.5823226, 8.07393837, 10.405859 
16.3887291, 2.56130838, 8.04660606, 10.4457664 
16.3686676, 2.54045248, 8.01888466, 10.4858418 
16.3484116, 2.51970053, 7.99078369, 10.5262222 
16.3281898, 2.49924922, 7.96230459, 10.5666971 
16.3078327, 2.47890782, 7.93331289, 10.6075468 
16.2874947, 2.45876455, 7.90410137, 10.6484461 
16.2671928, 2.43896627, 7.87465811, 10.6893244 
16.2467346, 2.4192977, 7.84487295, 10.730464 
16.2266235, 2.40023661, 7.81534433, 10.7709579 
16.2062645, 2.38134003, 7.78532696, 10.8118544 
16.1858406, 2.36266947, 7.75499249, 10.8529148 
16.1654358, 2.34429479, 7.72446299, 10.8939762 
16.1448784, 2.32608485, 7.69372559, 10.9351959 
16.1241264, 2.30812073, 7.66252422, 10.9767513 
16.1034145, 2.29027414, 7.63114023, 11.0183735 
16.0827179, 2.27255869, 7.59943867, 11.060173 
16.0622368, 2.25538015, 7.5677247, 11.1016493 
16.0416145, 2.23829651, 7.5355835, 11.1434851 
16.0211697, 2.22169805, 7.50350332, 11.184989 
16.0007229, 2.20531321, 7.4713378, 11.2264767 
15.9802456, 2.18912053, 7.43907452, 11.2679787 
15.9600649, 2.17353058, 7.40701914, 11.3089409 
15.9398594, 2.1581986, 7.37474346, 11.3499899 
15.9195127, 2.14312601, 7.34239483, 11.3910704 
15.8991117, 2.12825155, 7.30985117, 11.4322605 
15.8783112, 2.11366892, 7.27680683, 11.4739399 
15.8576756, 2.0994308, 7.24377441, 11.5154095 
15.8368196, 2.08551168, 7.21059561, 11.5569973 
15.8160095, 2.07189178, 7.17745352, 11.5984325 
15.7946196, 2.05842137, 7.1439209, 11.6404257 
15.7732115, 2.04512787, 7.11049795, 11.6822834 
15.7521763, 2.03236246, 7.07733154, 11.7235813 
15.7309265, 2.0197525, 7.04403067, 11.7650471 
15.7092867, 2.00734568, 7.0105958, 11.8067617 
15.6876678, 1.99519348, 6.97735596, 11.8482342 
15.6655941, 1.98319399, 6.94387197, 11.8900957 
15.6436062, 1.97154999, 6.91047382, 11.9317427 
15.6212034, 1.9600662, 6.87702656, 11.9736052 
15.5990601, 1.94910586, 6.84404278, 12.0148163 
15.5763397, 1.93825531, 6.81077862, 12.0565357 
15.5539732, 1.92803955, 6.77818584, 12.0973635 
15.5315704, 1.91808474, 6.74569082, 12.1380682 
15.5090303, 1.90836024, 6.71345234, 12.1785898 
15.4865084, 1.89877164, 6.68116474, 12.2191067 
15.4639711, 1.88932955, 6.64899921, 12.2595015 
15.4412479, 1.88039553, 6.61715078, 12.2996321 
15.4185276, 1.87158656, 6.58549786, 12.3395786 
15.3954468, 1.86288762, 6.55389404, 12.3796682 
15.3722715, 1.85433042, 6.5223875, 12.4197054 
15.3489227, 1.84589386, 6.4909668, 12.4597502 
15.325613, 1.83765721, 6.45979023, 12.4995394 
15.3023987, 1.82971954, 6.42905283, 12.538867 
15.2790318, 1.82201076, 6.39846182, 12.578126 
15.2549229, 1.81446528, 6.36788321, 12.6177893 
15.230978, 1.807428, 6.33809805, 12.6566486 
15.2069521, 1.8005569, 6.30853271, 12.6953602 
15.1828184, 1.79381716, 6.27933359, 12.7338362 
15.1587954, 1.78748631, 6.25053692, 12.7718678 
15.1341915, 1.78126371, 6.22199726, 12.8100605 
15.1094484, 1.77523041, 6.19372559, 12.8481121 
15.0845642, 1.76938319, 6.16588116, 12.88591 
15.059207, 1.76359248, 6.13815928, 12.9239244 
15.0337191, 1.75785983, 6.11057138, 12.9619188 
15.0083103, 1.75241697, 6.08356953, 12.9993925 
14.9822359, 1.74701381, 6.05661631, 13.037282 
14.9560823, 1.74162447, 6.02984619, 13.0750933 
14.9297667, 1.73631597, 6.00343037, 13.1127567 
14.9033356, 1.73106384, 5.97735596, 13.1502533 
14.8767672, 1.72582853, 5.95147705, 13.1877108 
14.8500309, 1.72056425, 5.92579365, 13.2251568 
14.8232574, 1.71555781, 5.90075684, 13.2621536 
14.7964878, 1.71044004, 5.87593985, 13.2990141 
14.7698421, 1.70544589, 5.85168457, 13.3353901 
14.7426424, 1.70041502, 5.82771015, 13.3719959 
14.7154875, 1.69546354, 5.8041749, 13.4082689 
14.6879826, 1.69055021, 5.78095722, 13.4445972 
14.6603422, 1.68554378, 5.75776386, 13.4810238 
14.6325169, 1.68045354, 5.73460674, 13.517581 
14.604352, 1.67540431, 5.71176767, 13.5541935 
14.5759306, 1.67040253, 5.68928242, 13.5907764 
14.5472288, 1.66546786, 5.66697979, 13.6274586 
14.5182219, 1.66053319, 5.64501953, 13.6641741 
14.4891386, 1.6557312, 5.62371826, 13.7005415 
14.4597378, 1.65106201, 5.60263681, 13.7370195 
14.430048, 1.64644468, 5.58192158, 13.7735157 
14.4000301, 1.64186096, 5.56154776, 13.8100815 
14.3693666, 1.63740087, 5.54152822, 13.8469725 
14.3383331, 1.63302159, 5.52185059, 13.8839779 
14.3066654, 1.62875521, 5.50236797, 13.9214039 
14.2746277, 1.62457883, 5.48319101, 13.9589748 
14.2423124, 1.62054443, 5.46434307, 13.9966021 
14.2089815, 1.61672521, 5.44581318, 14.0349293 
14.1752987, 1.61292422, 5.42759991, 14.0734081 
14.1412563, 1.60916138, 5.4095459, 14.1121244 
14.1070805, 1.6056869, 5.39240742, 14.1505156 
14.0726109, 1.60231471, 5.37543964, 14.1890821 
14.0381956, 1.59917903, 5.35925293, 14.2272434 
14.0033236, 1.59621429, 5.34326172, 14.2657213 
13.9674864, 1.59350586, 5.32744122, 14.3049879 
